type,name,href
草部,青葙,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E9%9D%92%E8%91%99
草部,鸡冠,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E9%B8%A1%E5%86%A0
草部,红蓝花,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%BA%A2%E8%93%9D%E8%8A%B1
草部,番红花,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%95%AA%E7%BA%A2%E8%8A%B1
草部,燕脂,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%87%95%E8%84%82
草部,大蓟、小蓟,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E5%A4%A7%E8%93%9F%E3%80%81%E5%B0%8F%E8%93%9F
草部,续断,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%BB%AD%E6%96%AD
草部,漏卢,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E6%BC%8F%E5%8D%A2
草部,苎麻,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%8B%8E%E9%BA%BB
草部,苘麻,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%8B%98%E9%BA%BB
草部,大青,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E5%A4%A7%E9%9D%92
草部,小青,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E5%B0%8F%E9%9D%92
草部,胡芦巴,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%83%A1%E8%8A%A6%E5%B7%B4
草部,蠡实,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%A0%A1%E5%AE%9E
草部,恶实,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E6%81%B6%E5%AE%9E
草部,呆耳,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E5%91%86%E8%80%B3
