type,name,href,img
草部,锁阳,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E9%94%81%E9%98%B3,http://p.ayxbk.com/images/thumb/0/03/Bkn9j.jpg/220px-Bkn9j.jpg
草部,铁线草,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E9%93%81%E7%BA%BF%E8%8D%89,
草部,当归,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E5%BD%93%E5%BD%92,http://p.ayxbk.com/images/9/9c/Bk0yj.jpg
草部,芎穷,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%8A%8E%E7%A9%B7,
草部,蘼芜,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%98%BC%E8%8A%9C,http://p.ayxbk.com/images/thumb/b/b2/Bke8h.jpg/220px-Bke8h.jpg
草部,蛇床,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%9B%87%E5%BA%8A,
草部,藁本,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%97%81%E6%9C%AC,http://p.ayxbk.com/images/thumb/7/7c/Bk1ha.jpg/220px-Bk1ha.jpg
草部,白芷,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%99%BD%E8%8A%B7,http://p.ayxbk.com/images/thumb/1/1e/Bk09p.jpg/220px-Bk09p.jpg
草部,芍药,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%8A%8D%E8%8D%AF,
草部,牡丹,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%89%A1%E4%B8%B9,
草部,木香,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E6%9C%A8%E9%A6%99,http://p.ayxbk.com/images/thumb/0/08/Bk312.jpg/220px-Bk312.jpg
草部,甘松香,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%94%98%E6%9D%BE%E9%A6%99,
草部,杜若,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E6%9D%9C%E8%8B%A5,
草部,高良姜,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E9%AB%98%E8%89%AF%E5%A7%9C,http://p.ayxbk.com/images/thumb/2/2a/Bk1gv.jpg/220px-Bk1gv.jpg
